Period,Type of tourist,Overnight Stays,Frequency
2024,Inbound,43134.46,Annual
2024,Domestic,44552.212,Annual
2024,Inbound,48795.226,Annual
2024,Domestic,40094.665,Annual
2015-01,Inbound,22786.205665265603,Monthly
2015-01,Domestic,23103.7101914704,Monthly
2015-02,Inbound,18623.35731945754,Monthly
2015-02,Domestic,20036.521049252835,Monthly
2015-03,Inbound,14684.55187214604,Monthly
2015-03,Domestic,18428.539995973857,Monthly
2015-04,Inbound,16834.418142298917,Monthly
2015-04,Domestic,15996.654929859436,Monthly
2015-05,Inbound,12500.28367857228,Monthly
2015-05,Domestic,15393.351631445688,Monthly
2015-06,Inbound,15701.7253334418,Monthly
2015-06,Domestic,20978.399156447,Monthly
2015-07,Inbound,12010.469272861805,Monthly
2015-07,Domestic,27078.511927881795,Monthly
2015-08,Inbound,8584.093515359249,Monthly
2015-08,Domestic,26328.98523202569,Monthly
2015-09,Inbound,35419.75782502206,Monthly
2015-09,Domestic,26410.80071121541,Monthly
2015-10,Inbound,7463.979901476848,Monthly
2015-10,Domestic,18064.62225925607,Monthly
2015-11,Inbound,8294.34737732058,Monthly
2015-11,Domestic,14663.950027068457,Monthly
2015-12,Inbound,20181.06792078852,Monthly
2015-12,Domestic,14368.70841593242,Monthly
2016-01,Inbound,18008.97710070981,Monthly
2016-01,Domestic,21594.08775740324,Monthly
2016-02,Inbound,21859.63675834549,Monthly
2016-02,Domestic,15055.211874366016,Monthly
2016-03,Inbound,17462.76296972314,Monthly
2016-03,Domestic,18179.18628742399,Monthly
2016-04,Inbound,16778.40015545339,Monthly
2016-04,Domestic,16098.500151429298,Monthly
2016-05,Inbound,14495.62749492617,Monthly
2016-05,Domestic,18115.79687937386,Monthly
2016-06,Inbound,14601.601734619053,Monthly
2016-06,Domestic,19868.09906461898,Monthly
2016-07,Inbound,5935.718888184186,Monthly
2016-07,Domestic,28596.538659481143,Monthly
2016-08,Inbound,12148.475327173594,Monthly
2016-08,Domestic,20920.275723140054,Monthly
2016-09,Inbound,38270.18835857082,Monthly
2016-09,Domestic,20518.75817438883,Monthly
2016-10,Inbound,2850.6251760418863,Monthly
2016-10,Domestic,16398.581518749255,Monthly
2016-11,Inbound,6204.932652009702,Monthly
2016-11,Domestic,23410.395217347017,Monthly
2016-12,Inbound,18608.0060661349,Monthly
2016-12,Domestic,17048.12106746104,Monthly
2017-01,Inbound,12736.129023213753,Monthly
2017-01,Domestic,23063.19137677553,Monthly
2017-02,Inbound,12704.661760697229,Monthly
2017-02,Domestic,16016.95575008598,Monthly
2017-03,Inbound,15686.306358188804,Monthly
2017-03,Domestic,18791.6647046688,Monthly
2017-04,Inbound,16344.981117723948,Monthly
2017-04,Domestic,15192.047001832836,Monthly
2017-05,Inbound,15194.90666494746,Monthly
2017-05,Domestic,12718.430724673612,Monthly
2017-06,Inbound,12114.143155450747,Monthly
2017-06,Domestic,22021.01300491758,Monthly
2017-07,Inbound,2129.687912092609,Monthly
2017-07,Domestic,22464.51772317906,Monthly
2017-08,Inbound,3346.4719843924254,Monthly
2017-08,Domestic,24976.804298976025,Monthly
2017-09,Inbound,45880.52960840688,Monthly
2017-09,Domestic,21941.243147616555,Monthly
2017-10,Inbound,5633.387637679932,Monthly
2017-10,Domestic,15188.835960742346,Monthly
2017-11,Inbound,17679.06626497401,Monthly
2017-11,Domestic,16718.6751848924,Monthly
2017-12,Inbound,11585.52646400548,Monthly
2017-12,Domestic,15119.04661310953,Monthly
2018-01,Inbound,11257.0884258302,Monthly
2018-01,Domestic,23886.37423717159,Monthly
