Period,Trip Purpose,Type of tourist,Tourists,Frequency
2018,Religious,Inbound,514.7963844313778,Annual
2018,Leisure,Inbound,65.21974163444501,Annual
2018,Business,Inbound,170.3138470494848,Annual
2018,Visiting Friends & Relatives,Inbound,124.4054870934773,Annual
2018,Other,Inbound,28.16089523375264,Annual
2018,Religious,Inbound,720.0651867174481,Annual
2018,Leisure,Inbound,68.72041548229103,Annual
2018,Business,Inbound,144.99380386343344,Annual
2018,Visiting Friends & Relatives,Inbound,167.33806465474365,Annual
2018,Other,Inbound,39.77438904226062,Annual
2018,Religious,Inbound,936.764914024198,Annual
2018,Leisure,Inbound,112.09796593549204,Annual
2018,Business,Inbound,182.14483967004367,Annual
2018,Visiting Friends & Relatives,Inbound,150.22541289242153,Annual
2018,Other,Inbound,45.75362867329066,Annual
2019,Religious,Inbound,973.378188336744,Annual
2019,Leisure,Inbound,99.52036180226,Annual
2019,Business,Inbound,253.15888870709708,Annual
2019,Visiting Friends & Relatives,Inbound,261.7548622298577,Annual
2019,Other,Inbound,65.53102325360302,Annual
2019,Religious,Inbound,918.1996904191458,Annual
2019,Leisure,Inbound,89.94468189767672,Annual
2019,Business,Inbound,226.19910624362663,Annual
2019,Visiting Friends & Relatives,Inbound,207.0080826167791,Annual
2019,Other,Inbound,50.562737127534,Annual
2019,Religious,Inbound,1043.6411886768667,Annual
2019,Leisure,Inbound,41.15251736745335,Annual
2019,Business,Inbound,237.6357633426068,Annual
2019,Visiting Friends & Relatives,Inbound,222.81066583082185,Annual
2019,Other,Inbound,54.02301157122376,Annual
2019,Religious,Inbound,1036.0983027028512,Annual
2019,Leisure,Inbound,72.46997721758987,Annual
2019,Business,Inbound,265.7093980994767,Annual
2019,Visiting Friends & Relatives,Inbound,220.8701889387389,Annual
2019,Other,Inbound,55.28765922942019,Annual
2019,Religious,Inbound,1380.1250526924002,Annual
2019,Leisure,Inbound,86.95346410988022,Annual
2019,Business,Inbound,267.35046326330934,Annual
2019,Visiting Friends & Relatives,Inbound,281.1847171292406,Annual
2019,Other,Inbound,63.82566023972903,Annual
2019,Religious,Inbound,245.87291995378487,Annual
2019,Leisure,Inbound,79.7945110232363,Annual
2019,Business,Inbound,278.4766458894108,Annual
2019,Visiting Friends & Relatives,Inbound,249.98884780642223,Annual
2019,Other,Inbound,49.21612638025599,Annual
2019,Religious,Inbound,43.21737152017112,Annual
2019,Leisure,Inbound,87.4515506693559,Annual
2019,Business,Inbound,327.6645560836365,Annual
2019,Visiting Friends & Relatives,Inbound,211.1890574991855,Annual
2019,Other,Inbound,80.34662773281097,Annual
2019,Religious,Inbound,1880.890614441149,Annual
2019,Leisure,Inbound,110.57241487237494,Annual
2019,Business,Inbound,409.5424171335188,Annual
2019,Visiting Friends & Relatives,Inbound,203.83896458523213,Annual
2019,Other,Inbound,69.65796383580796,Annual
2019,Religious,Inbound,147.16350915560295,Annual
2019,Leisure,Inbound,32.182990815047965,Annual
2019,Business,Inbound,230.5265967454366,Annual
2019,Visiting Friends & Relatives,Inbound,178.43168261182626,Annual
2019,Other,Inbound,46.85226082310401,Annual
2019,Religious,Inbound,555.0759412657034,Annual
2019,Leisure,Inbound,95.38697737054196,Annual
2019,Business,Inbound,225.20119389197112,Annual
2019,Visiting Friends & Relatives,Inbound,196.7252578824739,Annual
2019,Other,Inbound,46.518316952663774,Annual
2019,Religious,Inbound,671.2596683364131,Annual
2019,Leisure,Inbound,103.930871612834,Annual
2019,Business,Inbound,210.86019787381767,Annual
2019,Visiting Friends & Relatives,Inbound,207.8355482073897,Annual
2019,Other,Inbound,40.33792783878062,Annual
2019,Religious,Inbound,964.4693647510596,Annual
2019,Leisure,Inbound,228.87475422112504,Annual
2019,Business,Inbound,232.24725715527484,Annual
2019,Visiting Friends & Relatives,Inbound,268.3074524273336,Annual
2019,Other,Inbound,41.332397414535016,Annual
2020,Religious,Inbound,911.1237796734342,Annual
2020,Leisure,Inbound,188.8512760435761,Annual
2020,Business,Inbound,222.2903951155754,Annual
2020,Visiting Friends & Relatives,Inbound,327.147689743121,Annual
2020,Other,Inbound,87.46859596709002,Annual
2020,Religious,Inbound,828.4133433776476,Annual
2020,Leisure,Inbound,170.494877417768,Annual
2020,Business,Inbound,159.01513380424925,Annual
2020,Visiting Friends & Relatives,Inbound,257.3499898134052,Annual
2020,Other,Inbound,67.61451881935264,Annual
2020,Religious,Inbound,8.168969809760021,Annual
2020,Leisure,Inbound,18.29463115281767,Annual
2020,Business,Inbound,77.98591133781663,Annual
2020,Visiting Friends & Relatives,Inbound,61.87571857107757,Annual
2020,Other,Inbound,25.38215581081236,Annual
2020,Religious,Inbound,0.0,Annual
2020,Leisure,Inbound,0.2743293925245609,Annual
2020,Business,Inbound,19.340845869040333,Annual
2020,Visiting Friends & Relatives,Inbound,0.3559300030135347,Annual
2020,Other,Inbound,7.380894737548973,Annual
2020,Leisure,Inbound,0.3476539744849999,Annual
2020,Business,Inbound,11.054216081532015,Annual
2020,Visiting Friends & Relatives,Inbound,0.7084468238746694,Annual
2020,Other,Inbound,6.624683119371998,Annual
2020,Leisure,Inbound,0.7507458070236648,Annual
2020,Business,Inbound,23.843321874387005,Annual
2020,Visiting Friends & Relatives,Inbound,1.307997509913062,Annual
2020,Other,Inbound,9.378934810837997,Annual
2020,Leisure,Inbound,0.7104590270610017,Annual
2020,Business,Inbound,21.640254621571,Annual
2020,Visiting Friends & Relatives,Inbound,2.5810773361660218,Annual
2020,Other,Inbound,11.807209014145023,Annual
2020,Leisure,Inbound,2.0631939643326733,Annual
2020,Business,Inbound,35.775213083596064,Annual
2020,Visiting Friends & Relatives,Inbound,4.13918686772666,Annual
2020,Other,Inbound,10.235673523121005,Annual
2020,Leisure,Inbound,4.9364067395939975,Annual
2020,Business,Inbound,46.49160241800693,Annual
2020,Visiting Friends & Relatives,Inbound,29.32123297013096,Annual
2020,Other,Inbound,22.965757875076992,Annual
2020,Leisure,Inbound,1.891065340941,Annual
2020,Business,Inbound,52.925864048183016,Annual
2020,Visiting Friends & Relatives,Inbound,64.80664450382478,Annual
2020,Other,Inbound,25.871769493639,Annual
2020,Religious,Inbound,3.222220422394015,Annual
2020,Leisure,Inbound,1.469817926042,Annual
2020,Business,Inbound,51.212894765542885,Annual
2020,Visiting Friends & Relatives,Inbound,82.00825550285566,Annual
2020,Other,Inbound,21.691324161314984,Annual
2020,Religious,Inbound,0.5920000000009997,Annual
2020,Leisure,Inbound,2.746577363666998,Annual
2020,Business,Inbound,50.368250895615056,Annual
2020,Visiting Friends & Relatives,Inbound,70.59626153094068,Annual
2020,Other,Inbound,23.26305137456833,Annual
2021,Religious,Inbound,3.235,Annual
2021,Leisure,Inbound,5.646,Annual
2021,Business,Inbound,70.329,Annual
2021,Visiting Friends & Relatives,Inbound,131.441,Annual
2021,Other,Inbound,22.115,Annual
2021,Religious,Inbound,2.576,Annual
2021,Leisure,Inbound,2.677,Annual
2021,Business,Inbound,51.087,Annual
2021,Visiting Friends & Relatives,Inbound,51.939,Annual
2021,Other,Inbound,16.753,Annual
2021,Religious,Inbound,2.4,Annual
2021,Leisure,Inbound,6.346,Annual
2021,Business,Inbound,66.527,Annual
2021,Visiting Friends & Relatives,Inbound,48.556,Annual
2021,Other,Inbound,24.465,Annual
2021,Religious,Inbound,6.487,Annual
2021,Leisure,Inbound,9.067,Annual
2021,Business,Inbound,71.206,Annual
2021,Visiting Friends & Relatives,Inbound,60.501,Annual
2021,Other,Inbound,28.77,Annual
2021,Religious,Inbound,6.822,Annual
2021,Leisure,Inbound,11.91,Annual
2021,Business,Inbound,63.521,Annual
2021,Visiting Friends & Relatives,Inbound,67.234,Annual
2021,Other,Inbound,35.358,Annual
2021,Religious,Inbound,3.097,Annual
2021,Leisure,Inbound,11.889,Annual
2021,Business,Inbound,69.077,Annual
2021,Visiting Friends & Relatives,Inbound,55.27,Annual
2021,Other,Inbound,36.099,Annual
2021,Religious,Inbound,11.453,Annual
2021,Leisure,Inbound,26.312,Annual
2021,Business,Inbound,65.405,Annual
2021,Visiting Friends & Relatives,Inbound,81.356,Annual
2021,Other,Inbound,46.77,Annual
2021,Religious,Inbound,4.613,Annual
2021,Leisure,Inbound,24.796,Annual
2021,Business,Inbound,80.709,Annual
2021,Visiting Friends & Relatives,Inbound,103.28,Annual
2021,Other,Inbound,43.967,Annual
2021,Religious,Inbound,28.698,Annual
2021,Leisure,Inbound,23.898,Annual
2021,Business,Inbound,85.453,Annual
2021,Visiting Friends & Relatives,Inbound,129.41,Annual
2021,Other,Inbound,40.704,Annual
2021,Religious,Inbound,51.693,Annual
2021,Leisure,Inbound,39.773,Annual
2021,Business,Inbound,115.101,Annual
2021,Visiting Friends & Relatives,Inbound,201.503,Annual
2021,Other,Inbound,44.915,Annual
2021,Religious,Inbound,63.959,Annual
2021,Leisure,Inbound,55.235,Annual
2021,Business,Inbound,131.097,Annual
2021,Visiting Friends & Relatives,Inbound,197.724,Annual
2021,Other,Inbound,45.578,Annual
2021,Religious,Inbound,88.824,Annual
2021,Leisure,Inbound,94.61,Annual
2021,Business,Inbound,143.599,Annual
2021,Visiting Friends & Relatives,Inbound,309.874,Annual
2021,Other,Inbound,54.51,Annual
2022,Religious,Inbound,84.045,Annual
2022,Leisure,Inbound,83.669,Annual
