"Month","Trip Purpose","Type of tourist","Tourists"
"2020-02","Other","Inbound",67.61451881935264
"2020-03","Religious","Inbound",8.168969809760021
"2020-03","Leisure","Inbound",18.29463115281767
"2020-03","Business","Inbound",77.98591133781663
"2020-03","Visiting Friends & Relatives","Inbound",61.87571857107757
"2020-03","Other","Inbound",25.38215581081236
"2020-04","Religious","Inbound",0
"2020-04","Leisure","Inbound",0.2743293925245609
"2020-04","Business","Inbound",19.340845869040333
"2020-04","Visiting Friends & Relatives","Inbound",0.3559300030135347
"2020-04","Other","Inbound",7.380894737548973
"2020-05","Religious","Inbound",0
"2020-05","Leisure","Inbound",0.34765397448499996
"2020-05","Business","Inbound",11.054216081532015
"2020-05","Visiting Friends & Relatives","Inbound",0.7084468238746694
"2020-05","Other","Inbound",6.624683119371998
"2020-06","Religious","Inbound",0
"2020-06","Leisure","Inbound",0.7507458070236648
"2020-06","Business","Inbound",23.843321874387005
"2020-06","Visiting Friends & Relatives","Inbound",1.3079975099130619
"2020-06","Other","Inbound",9.378934810837997
"2020-07","Religious","Inbound",0
"2020-07","Leisure","Inbound",0.7104590270610017
"2020-07","Business","Inbound",21.640254621570993
"2020-07","Visiting Friends & Relatives","Inbound",2.5810773361660218
"2020-07","Other","Inbound",11.807209014145023
"2020-08","Religious","Inbound",0
"2020-08","Leisure","Inbound",2.0631939643326733
"2020-08","Business","Inbound",35.775213083596064
"2020-08","Visiting Friends & Relatives","Inbound",4.13918686772666
"2020-08","Other","Inbound",10.235673523121003
"2020-09","Religious","Inbound",0
"2020-09","Leisure","Inbound",4.9364067395939975
"2020-09","Business","Inbound",46.491602418006934
"2020-09","Visiting Friends & Relatives","Inbound",29.321232970130957
"2020-09","Other","Inbound",22.965757875076992
"2020-10","Religious","Inbound",0
"2020-10","Leisure","Inbound",1.8910653409409997
"2020-10","Business","Inbound",52.925864048183016
"2020-10","Visiting Friends & Relatives","Inbound",64.80664450382478
"2020-10","Other","Inbound",25.871769493638993
"2020-11","Religious","Inbound",3.222220422394015
"2020-11","Leisure","Inbound",1.4698179260420001
"2020-11","Business","Inbound",51.212894765542885
"2020-11","Visiting Friends & Relatives","Inbound",82.00825550285566
"2020-11","Other","Inbound",21.691324161314984
"2020-12","Religious","Inbound",0.5920000000009997
"2020-12","Leisure","Inbound",2.746577363666998
"2020-12","Business","Inbound",50.368250895615056
"2020-12","Visiting Friends & Relatives","Inbound",70.59626153094068
"2020-12","Other","Inbound",23.26305137456833
"2021-01","Religious","Inbound",3.235
"2021-01","Leisure","Inbound",5.646
"2021-01","Business","Inbound",70.329
"2021-01","Visiting Friends & Relatives","Inbound",131.441
"2021-01","Other","Inbound",22.115
"2021-02","Religious","Inbound",2.576
"2021-02","Leisure","Inbound",2.677
"2021-02","Business","Inbound",51.087
"2021-02","Visiting Friends & Relatives","Inbound",51.939
"2021-02","Other","Inbound",16.753
"2021-03","Religious","Inbound",2.4
"2021-03","Leisure","Inbound",6.346
"2021-03","Business","Inbound",66.527
"2021-03","Visiting Friends & Relatives","Inbound",48.556
"2021-03","Other","Inbound",24.465
"2021-04","Religious","Inbound",6.487
"2021-04","Leisure","Inbound",9.067
"2021-04","Business","Inbound",71.206
"2021-04","Visiting Friends & Relatives","Inbound",60.501
"2021-04","Other","Inbound",28.77
"2021-05","Religious","Inbound",6.822
"2021-05","Leisure","Inbound",11.91
"2021-05","Business","Inbound",63.521
"2021-05","Visiting Friends & Relatives","Inbound",67.234
"2021-05","Other","Inbound",35.358
"2021-06","Religious","Inbound",3.097
"2021-06","Leisure","Inbound",11.889
"2021-06","Business","Inbound",69.077
"2021-06","Visiting Friends & Relatives","Inbound",55.27
"2021-06","Other","Inbound",36.099
"2021-07","Religious","Inbound",11.453
"2021-07","Leisure","Inbound",26.312
"2021-07","Business","Inbound",65.405
"2021-07","Visiting Friends & Relatives","Inbound",81.356
"2021-07","Other","Inbound",46.77
"2021-08","Religious","Inbound",4.613
"2021-08","Leisure","Inbound",24.796
"2021-08","Business","Inbound",80.709
"2021-08","Visiting Friends & Relatives","Inbound",103.28
"2021-08","Other","Inbound",43.967
"2021-09","Religious","Inbound",28.698
"2021-09","Leisure","Inbound",23.898
"2021-09","Business","Inbound",85.453
"2021-09","Visiting Friends & Relatives","Inbound",129.41
"2021-09","Other","Inbound",40.704
"2021-10","Religious","Inbound",51.693
"2021-10","Leisure","Inbound",39.773
"2021-10","Business","Inbound",115.101
"2021-10","Visiting Friends & Relatives","Inbound",201.503
"2021-10","Other","Inbound",44.915
"2021-11","Religious","Inbound",63.959
"2021-11","Leisure","Inbound",55.235
"2021-11","Business","Inbound",131.097
"2021-11","Visiting Friends & Relatives","Inbound",197.724
"2021-11","Other","Inbound",45.578
"2021-12","Religious","Inbound",88.824
"2021-12","Leisure","Inbound",94.61
"2021-12","Business","Inbound",143.599
"2021-12","Visiting Friends & Relatives","Inbound",309.874
"2021-12","Other","Inbound",54.51
"2022-01","Religious","Inbound",84.045
"2022-01","Leisure","Inbound",83.669
"2022-01","Business","Inbound",105.343
"2022-01","Visiting Friends & Relatives","Inbound",224.634
"2022-01","Other","Inbound",51.245
"2022-02","Religious","Inbound",199.166
