"Year","Trip Purpose","Type of tourist","Tourists"
2020,"Leisure","Domestic",2697.872324056084
2020,"Business","Domestic",129.7238270854332
2020,"Visiting Friends & Relatives","Domestic",2317.12868409401
2020,"Other","Domestic",77.06861427438558
2020,"Religious","Domestic",0
2020,"Leisure","Domestic",2290.523086992282
2020,"Business","Domestic",189.02170112886822
2020,"Visiting Friends & Relatives","Domestic",1986.2674060032948
2020,"Other","Domestic",129.33801309662368
2020,"Religious","Domestic",579.5980854956922
2020,"Leisure","Domestic",2335.2044874182234
2020,"Business","Domestic",201.58802104703577
2020,"Visiting Friends & Relatives","Domestic",1480.3430166655642
2020,"Other","Domestic",115.7666819270979
2020,"Religious","Domestic",735.3518494745632
2020,"Leisure","Domestic",2053.4019677858987
2020,"Business","Domestic",196.37709173014198
2020,"Visiting Friends & Relatives","Domestic",1479.5271165680206
2020,"Other","Domestic",115.82718963025067
2020,"Religious","Domestic",739.0870407894027
2020,"Leisure","Domestic",2197.147807976583
2020,"Business","Domestic",219.87875490368464
2020,"Visiting Friends & Relatives","Domestic",1460.2115034795722
2020,"Other","Domestic",89.99518808451666
2021,"Religious","Domestic",542.297
2021,"Leisure","Domestic",1877.569
2021,"Business","Domestic",618.931
2021,"Visiting Friends & Relatives","Domestic",2636.499
2021,"Other","Domestic",244.412
2021,"Religious","Domestic",383.754
2021,"Leisure","Domestic",1201.821
2021,"Business","Domestic",468.729
2021,"Visiting Friends & Relatives","Domestic",2116.334
2021,"Other","Domestic",205.276
2021,"Religious","Domestic",386.596
2021,"Leisure","Domestic",1215.041
2021,"Business","Domestic",529.286
2021,"Visiting Friends & Relatives","Domestic",2118.123
2021,"Other","Domestic",158.991
2021,"Religious","Domestic",538.355
2021,"Leisure","Domestic",1193.251
2021,"Business","Domestic",516.601
2021,"Visiting Friends & Relatives","Domestic",1882.363
2021,"Other","Domestic",300.433
2021,"Religious","Domestic",578.068
2021,"Leisure","Domestic",2127.202
2021,"Business","Domestic",596.398
2021,"Visiting Friends & Relatives","Domestic",3193.409
2021,"Other","Domestic",232.835
2021,"Religious","Domestic",294.956
2021,"Leisure","Domestic",1560.767
2021,"Business","Domestic",426.344
2021,"Visiting Friends & Relatives","Domestic",1744.31
2021,"Other","Domestic",139.192
2021,"Religious","Domestic",490.973
2021,"Leisure","Domestic",2402.684
2021,"Business","Domestic",358.283
2021,"Visiting Friends & Relatives","Domestic",4038.179
2021,"Other","Domestic",243.232
2021,"Religious","Domestic",388.439
2021,"Leisure","Domestic",2135.567
2021,"Business","Domestic",464.211
2021,"Visiting Friends & Relatives","Domestic",2268.113
2021,"Other","Domestic",225.92
2021,"Religious","Domestic",376.885
2021,"Leisure","Domestic",1511.375
2021,"Business","Domestic",366.517
2021,"Visiting Friends & Relatives","Domestic",1797.337
2021,"Other","Domestic",133.183
2021,"Religious","Domestic",450.52
2021,"Leisure","Domestic",2344.299
2021,"Business","Domestic",454.701
2021,"Visiting Friends & Relatives","Domestic",1851.119
2021,"Other","Domestic",297.921
2021,"Religious","Domestic",586.656
2021,"Leisure","Domestic",2865.906
2021,"Business","Domestic",420.199
2021,"Visiting Friends & Relatives","Domestic",2256.299
2021,"Other","Domestic",583.691
2021,"Religious","Domestic",441.725
2021,"Leisure","Domestic",1931.288
2021,"Business","Domestic",209.99
2021,"Visiting Friends & Relatives","Domestic",1700.381
2021,"Other","Domestic",210.162
2022,"Religious","Domestic",596.252
2022,"Leisure","Domestic",2867.998
2022,"Business","Domestic",341.926
2022,"Visiting Friends & Relatives","Domestic",3551.156
2022,"Other","Domestic",317.828
2022,"Religious","Domestic",586.608
2022,"Leisure","Domestic",2417.283
2022,"Business","Domestic",273.146
2022,"Visiting Friends & Relatives","Domestic",2836.744
2022,"Other","Domestic",336.157
2022,"Religious","Domestic",549.498
2022,"Leisure","Domestic",2180.247
2022,"Business","Domestic",282.899
2022,"Visiting Friends & Relatives","Domestic",2879.42
2022,"Other","Domestic",312.691
2022,"Religious","Domestic",1469.406
2022,"Leisure","Domestic",2115.43
2022,"Business","Domestic",277.932
2022,"Visiting Friends & Relatives","Domestic",3899.846
2022,"Other","Domestic",273.517
2022,"Religious","Domestic",589.898
2022,"Leisure","Domestic",2717.715
2022,"Business","Domestic",371.79
2022,"Visiting Friends & Relatives","Domestic",3267.698
2022,"Other","Domestic",299.008
2022,"Religious","Domestic",281.898
2022,"Leisure","Domestic",1716.806
2022,"Business","Domestic",248.02
2022,"Visiting Friends & Relatives","Domestic",1571.684
2022,"Other","Domestic",214.379
2022,"Religious","Domestic",948.318
2022,"Leisure","Domestic",3713.087
2022,"Business","Domestic",499.956
2022,"Visiting Friends & Relatives","Domestic",5262.984
2022,"Other","Domestic",371.209
2022,"Religious","Domestic",758.364
2022,"Leisure","Domestic",2776.151
2022,"Business","Domestic",534.951
2022,"Visiting Friends & Relatives","Domestic",2631.712
2022,"Other","Domestic",307.26
2022,"Religious","Domestic",500.227
2022,"Leisure","Domestic",1862.447
2022,"Business","Domestic",298.644
2022,"Visiting Friends & Relatives","Domestic",1311.165
2022,"Other","Domestic",223.556
2022,"Religious","Domestic",488.166
2022,"Leisure","Domestic",2233.055
2022,"Business","Domestic",432.195
2022,"Visiting Friends & Relatives","Domestic",1376.883
2022,"Other","Domestic",307.887
2022,"Religious","Domestic",749.834
2022,"Leisure","Domestic",3283.884
2022,"Business","Domestic",510.602
2022,"Visiting Friends & Relatives","Domestic",1994.362
2022,"Other","Domestic",464.467
2022,"Religious","Domestic",495.142
2022,"Leisure","Domestic",1978.806
2022,"Business","Domestic",432.887
2022,"Visiting Friends & Relatives","Domestic",1231.832
2022,"Other","Domestic",211.588
2023,"Religious","Domestic",658.471
2023,"Leisure","Domestic",3085.674
2023,"Business","Domestic",536.528
2023,"Visiting Friends & Relatives","Domestic",1739.337
2023,"Other","Domestic",273.946
2023,"Religious","Domestic",635.661
2023,"Leisure","Domestic",2619.228
2023,"Business","Domestic",546.173
2023,"Visiting Friends & Relatives","Domestic",1588.526
2023,"Other","Domestic",218.049
2023,"Religious","Domestic",996.116
2023,"Leisure","Domestic",2604.594
2023,"Business","Domestic",633.282
2023,"Visiting Friends & Relatives","Domestic",1956.899
2023,"Other","Domestic",311.265
2023,"Religious","Domestic",1132.871
2023,"Leisure","Domestic",2522.562
2023,"Business","Domestic",613.427
2023,"Visiting Friends & Relatives","Domestic",2353.898
2023,"Other","Domestic",258.538
2023,"Religious","Domestic",525.657
2023,"Leisure","Domestic",2245.711
2023,"Business","Domestic",536.118
2023,"Visiting Friends & Relatives","Domestic",1395.87
2023,"Other","Domestic",299.635
2023,"Religious","Domestic",1234.789
2023,"Leisure","Domestic",3886.558
2023,"Business","Domestic",785.582
2023,"Visiting Friends & Relatives","Domestic",3251.576
2023,"Other","Domestic",389.355
2023,"Religious","Domestic",752.531
2023,"Leisure","Domestic",3688.683
2023,"Business","Domestic",729.043
2023,"Visiting Friends & Relatives","Domestic",2431.251
2023,"Other","Domestic",516.748
2023,"Religious","Domestic",837.242
2023,"Leisure","Domestic",2836.306
2023,"Business","Domestic",800.176
2023,"Visiting Friends & Relatives","Domestic",2173.515
2023,"Other","Domestic",338.709
2023,"Religious","Domestic",689.514
2023,"Leisure","Domestic",2472.869
2023,"Business","Domestic",666.927
2023,"Visiting Friends & Relatives","Domestic",1902.066
2023,"Other","Domestic",342.451
2023,"Religious","Domestic",707.384
2023,"Leisure","Domestic",2417.181
2023,"Business","Domestic",834.838
2023,"Visiting Friends & Relatives","Domestic",1953.757
2023,"Other","Domestic",288.859
2023,"Religious","Domestic",996.979
2023,"Leisure","Domestic",3584.746
2023,"Business","Domestic",793.102
2023,"Visiting Friends & Relatives","Domestic",2537.225
2023,"Other","Domestic",308.275
2023,"Religious","Domestic",758.084
2023,"Leisure","Domestic",3046.356
2023,"Business","Domestic",719.795
2023,"Visiting Friends & Relatives","Domestic",1748.997
2023,"Other","Domestic",210.857
2024,"Religious","Domestic",1003.006
2024,"Leisure","Domestic",3379.914
2024,"Business","Domestic",771.353
2024,"Visiting Friends & Relatives","Domestic",2341.854
2024,"Other","Domestic",284.238
2024,"Religious","Domestic",948.945
2024,"Leisure","Domestic",3434.89
2024,"Business","Domestic",665.148
2024,"Visiting Friends & Relatives","Domestic",2397.233
2024,"Other","Domestic",296.486
2024,"Religious","Domestic",1567.474
2024,"Leisure","Domestic",2169.01
2024,"Business","Domestic",562.055
2024,"Visiting Friends & Relatives","Domestic",2237.328
2024,"Other","Domestic",266.712
2024,"Religious","Domestic",1070.993
2024,"Leisure","Domestic",2599.842
2024,"Business","Domestic",624.153
2024,"Visiting Friends & Relatives","Domestic",2674.691
2024,"Other","Domestic",230.723
2024,"Religious","Domestic",559.944
2024,"Leisure","Domestic",2119.503
2024,"Business","Domestic",754.346
2024,"Visiting Friends & Relatives","Domestic",2205.655
2024,"Other","Domestic",336.55
2024,"Religious","Domestic",1125.398
2024,"Leisure","Domestic",3301.219
2024,"Business","Domestic",852.674
2024,"Visiting Friends & Relatives","Domestic",4069.266
2024,"Other","Domestic",264.552
2024,"Religious","Domestic",938.105
2024,"Leisure","Domestic",3388.26
2024,"Business","Domestic",737.243
2024,"Visiting Friends & Relatives","Domestic",2745.667
2024,"Other","Domestic",253.587
2024,"Religious","Domestic",812.599
2024,"Leisure","Domestic",2479.657
2024,"Business","Domestic",711.117
2024,"Visiting Friends & Relatives","Domestic",2109.375
2024,"Other","Domestic",335.215
2024,"Religious","Domestic",673.917
2024,"Leisure","Domestic",1983.221
2024,"Business","Domestic",761.804
2024,"Visiting Friends & Relatives","Domestic",2161.02
2024,"Other","Domestic",327.505
2024,"Religious","Domestic",763.597
2024,"Leisure","Domestic",2048.431
2024,"Business","Domestic",806.067
2024,"Visiting Friends & Relatives","Domestic",1899.097
2024,"Other","Domestic",276.573
2024,"Religious","Domestic",1042.916
2024,"Leisure","Domestic",2871.841
2024,"Business","Domestic",850.852
2024,"Visiting Friends & Relatives","Domestic",2900.212
2024,"Other","Domestic",240.905
2024,"Religious","Domestic",910.193
2024,"Leisure","Domestic",2520.693
2024,"Business","Domestic",835.865
2024,"Visiting Friends & Relatives","Domestic",2355.444
2024,"Other","Domestic",301.226
